HYPO	PARAPHRASES	MINIMAL UNITS CORPUS
The principal is unhappy...we're cooked. 	The principal is unhappy...we're in trouble.	Well cooked vegetables can be pureed easily.
The availability of data is likely to lead to a veritable orgy of statistical analysis. 	The availability of data is likely to lead to a large amount of statistical analysis.	"Having been purified, the pilgrim would join a sacred orgy."
Love you to the moon and back. 	Love you so much.	The missions successfully went to the moon and back.
"Man, your compassion is greater than space."	"Man, your compassion is huge."	Spacetime is more complicated than space.
Marriage is the grave of love.	Marriage is the end of love.	I have gone to visit the grave of a friend.
I went into the shop and we cleared the shelves out. 	I went into the shop and we bought a lot of things.	"At the restaurant, they cleared the shelves out and put in some old tables."
He's as mad as a hippo with a hernia. 	He's very mad.	I've never heard of a hippo with a hernia.
You're making a mountain out of a molehill. 	You're exaggerating.	A mountain dominates the city.
"Speech is silver, but silence is golden. "	"Speech is good, but silence is better."	Silver objects are rarer than golden ones in the tombs.
No offence but she's out of the world dumb.	No offence but she's dumb.	Going to Mars was an out of the world experience.
Miss Trunchbull's lips stretched in a glacial smile.	Miss Trunchbull's lips stretched in a serious smile.	The monsoon in causing a fall in glacial temperatures.
We're going to turn this sow's ear into a silk purse.	We're going to turn this sow's ear into something more valuable.	Put these items into a little silk purse.
This one is valuable: you don't touch a hair of his head.	This one is valuable: you don't touch him.	A hair of his head began to grow again.
He has a watermelon instead of a belly. 	He has a big belly.	Watermelon is speckled with black seeds.
The argument with my bestfriend turned into a tempest in a teacup.	The argument with my bestfriend turned into a fight.	"The story begins with a tempest in a teacup, and sugar cubes transforming into cruise ships."
"You know, the world could end before I'd let something happen to you."	"You know, I'll take care of you."	The world could end if all insect species died.
We must fight with the force of a typhoon.	We must fight with great force.	We can use the force of a typhoon to generate wind power.
These people would follow you to the end of the earth. 	These people would follow you.	The end of the earth cannot be found.
Beauty draws with a single hair. 	Beauty draws very easily.	Each root is normally associated with a single hair.
You'll devour the book in a couple of days.  	You'll read the book in a couple of days.	Tuna devour small fish.
"He hurts everybody, he has a sharp knife instead of a tongue. "	"He hurts everybody, he has a sharp tongue."	You should use a sharp knife instead of a meat grinder.
Technology annihilates humanity.	Technology hurts humanity.	"As the army forwards, it annihilates the enemy."
I've been enjoying this tea for all my life.  	I have been enjoying this tea for a long time.	I have lived in the country all my life.
"This book is a masterpiece, it is priceless! "	"This book is a masterpiece, it is excellent!"	The hope they can restore is priceless.
Her hair is the same as Rapunzel. 	Her hair is very long.	"The princess was trapped in a tower, same as Rapunzel."
You have no conception of the quantity of miserable feeling that passes through me in a day. 	I have negative feelings in the day.	You have no conception of the chemical composition of oil.
He hiccuped endlessly.  	He hiccuped for a long time.	Waves endlessly tumble to shore.
My heart's bleeding right now. 	My heart's hurt right now.	First aid for a bleeding nose is to pinch the nostrils.
The professor destroyed me in front of the class. 	The professor humiliated me in front of the class.	The bridge was destroyed.
His nose resembles Pinocchio's nose when he lies.	His nose is very big.	This tree branch resembles Pinocchio's nose.
I feel like I'm going to burst. 	I feel excited.	The historic building is going to burst into flames.
"I have fever, I can't move. "	"I have fever, moving is difficult."	"Since my operation, I can't move."
New York is the promised land to him.	New York is right place for him.	Moses intended to go straight on into the promised land.
"Even thinking back, it feels like living a fairy tail."	"Even thinking back, it feels like living a wonderful situation."	Our teacher who was recounting a fairy tale.
My sisters mean more than air to me. 	My sisters mean a lot to me.	Propane vapor weighs more than air.
Moms are more powerful than the sea. 	Moms are so powerful.	"The sky is unforgiving for computation mistakes, more than the sea."
"Well, this travel's going to be the start of a new life for us. "	"Well, this travel's going to be a new opportunity for us."	"I witnessed the start of a new life, I am a dad now."
People say Massimo has phenomenal cooking powers.  	People say Massimo has excellent cooking powers.	Through a phenomenal occurrence in nature
You should sunbathe! You look white as a ghost!	You should sunbathe! You look pale!	The future is invisible as a ghost.
I did not suspect it would be so good: this book is a pit of wonders. 	I did not suspect it would be so good: this book is wonderful.	The sultan was hiding precious gems in a pit of wonders set in his garden.
His hand is as cold as an ice box.	His hand is very cold.	"I went to Canada and once left my phone in the open air. After some hours, it was cold as an ice box."
My stomach almost bust.	My stomach is very bloated.	Property companies continue to go bust.
Faith will move mountains. 	Faith is a strong motivator.	An earthquake can move mountains.
Her smoldering eyes still scorch my soul.	Her smoldering eyes still make me feel bad.	Wildfires can scorch the soil.
The massages at the spa are miraculous. 	The massages at the spa render very good results.	The film is about the miraculous healing of a sick child.
"No more food, I'm stuffed. "	"No more food, I'm satiated."	"Olives are available, either plain or stuffed with almonds."
That girl's eyes shine like stars. 	That girl's eyes are bright.	Venus seems to shine like stars.
I felt fireworks in my brain when I set foot in the candy shop. 	I felt very happy when I set foot in the candy shop.	I will watch fireworks in my hometown.
The princess' lips shame the red rose. 	The princess' lips are red.	Youth unemployment figures shame the government.
My bank account runs dry. 	My bank account is almost empty.	The river runs dry.
"That joke is so old, the last time I heard it I was riding on a dinosaur. "	"That joke is so old, the last time I heard it was many years ago."	This is the first crest to be found on the fossil of a dinosaur.
"Insolent boy, I'll slash you to ribbons! "	"Insolent boy, I'll hit you!"	The boy's uniform was slashed into ribbons.
I would give my life for a coffee. 	I really want a coffee.	I am ready to give my life to save my brother.
I'll tell you a tale of the boundless blue that is the ocean.	I'll tell you a tale of the immense blue that is the ocean.	There exists a boundless number of points within a space.
"After watching the movie, I wanted to put the villain through the wall into the next planet. "	"After watching the movie, I wanted to hurt the villain."	Landing into the next planet will be an exciting experience.
"The noise was so great, that it was heard in both the countries."	"The noise was so great, that it was heard in a long distance."	Deterioration in road safety was witnessed in both the countries.
That must be the angel music I hear. 	That is great music I hear.	One belief is that you can hear the angel music when you pass out.
The buyer has need of a hundred eyes. 	The buyer has to be careful.	A hundred eyes stare at him.
"We've been dealing with it for months, and months and months. "	We've been dealing with it for months.	We haven't talked for months.
"I would buy it, if it did not cost an arm and a leg! "	"I would buy it, if it did not cost that much!"	"With only an arm and a leg, she crawled across the deck."
Even a baby could pass that test! 	It is very easy to pass that test!	Even a baby could understand what is going on here.
And soon I'll be famous beyond belief.  	And soon I'll be very famous.	What Jesus did is beyond belief: he transformed water into wine.
Old Mr. Smith has been teaching here since the Stone Age. 	Old Mr. Smith has been teaching here for a very long time.	This site has been a settlement since the Stone Age.
"Set a beggar on horseback, and he'll ride to the devil.  "	"Set a beggar on horseback, and he will ride far."	The exorcist claimed he was able to talk to the Devil.
Nothing's impossible!  	Most things are possible!	Nothing is impossible in a child's imagination.
A day was twenty-four hours long but seemed longer. 	A day was really exhausting.	"The movie lasted one hour, but seemed longer."
She'll erupt when she finds out that her brother left.	She'll get furious when she finds out that her brother left.	Volcanoes erupt underwater.
Nobody can beat level six.  	It would be difficult to beat level six.	Nobody seems to have explained this to her.
Supernatural courage is needed when bringing a message to a hostile audience. 	A great courage is needed when bringing a message to a hostile audience.	Evolutionists gave a natural origin to human institutions instead of a supernatural origin.
Living with apprehensive parents is being trapped in a tower. 	Living with apprehensive parents is very limiting.	"Trapped in a tower, the princess spent her days drawing."
A man can have a belly you could house a commercial aircraft in.  	A man can have a very large belly.	Our warehouse could house a commercial aircraft.
We are traversing the vast desert of everyday life.   	We live by ourselves in everyday life.	We were traversing the vast desert of Isran.
Jason would rather lose an arm than lose face by pulling out.  	Jason would rather keep going than lose face by pulling out.	He may still lose an arm from that attack.
It was said that he had read so many books that his brain dried up.	It was said that he had read so many books that his brain stopped working properly.	Make sure all excess liquid dried up.
All these parties will break my bank.  	All these parties are expensive.	
Dust-like snowflakes began to fall.  	Tiny snowflakes began to fall.	Fungi are filled with dust-like spores.
"See, my dear, a pair of high heels is indispensable these days.  "	"See, my dear, a pair of high heels is important these days."	Iron is indispensable for photosynthesis.
The joke was just epic!  	The joke was very good.	Epic poems have been created throughout history.
"I'm sure the spider was about to leap off the wall, latch itself onto my leg and start gnawing me. "	"I am sure the spider was about to leap off the wall, latch onto my leg and bite me."	Terry saw some apes biting themselves and gnawing at the bars.
Not too far away is an empire of chicken farms.  	Not too far away is a large chicken farm business.	The foundations of the empire were beginning to weaken.
The girl is no one.	The girl is not relevant.	There was no one there but the family.
You could see she was scared to death.  	You could see she was very scared.	The judge was shot to death in the front seat.
I'll see him wriggle like a worm on a hook!  	I'll see him become very nervous!	A moth looks like a worm.
The style is the man.    	The style is important to how we see a man.	The price is the same for all cards.
One could swear that the contortionist had no bones.	The contortionist was flexible.	I had no bones in the jaw.
Being in debt makes my muscles itch.   	Being in debt makes me uncomfortable.	I want to scratch my skin off whenever my muscles itch.
Masses of garbage reached so high that it lifted the roof. 	Masses of garbage reached so high that it touched the roof.	The blast blew out windows and lifted the roof.
"You are not a fully-grown man, you are a clown. "	"You are not a fully-grown man, you are very silly."	So you are a clown who uses music.
This drink makes you grow wings.	This drink gives you an energy lift.	Caterpillars grow wings and become butterflies.
"Remember, Quasimodo they're gypsies. They'll steal us blind.   "	"Remember, Quasimodo they're gypsies. They'll steal from us."	He had a blind eye.
My lover's arms were made to hold me close.  	My lover's arms are good at holding me close.	Attempts were made to help improve the situation.
The taste is perfect.  	The taste is very good.	A perfect circle then forms on the surface.
The veteran proclaimed he had tree trucks for legs. 	The veteran proclaimed he had strong legs.	Tree trucks had to go twenty miles out of the way.
Being led around aimlessly felt like being a zombie.  	Being led around aimlessly felt dull.	"The main character in the book struggles to achieve a tender relationship, despite him being a zombie."
It's painful to see you eating pineapple pizza. It hurts my Italian heart.  	I don't like to see you eating pineapple pizza. It hurts my Italian heart.	My right arm became painful. It hurts my shoulder.
Books are food for avid readers.  	Books are important for avid readers.	Amphibians in the wild are food for other animals.
Many questions were fired at us.  	Many questions were asked to us.	Several missiles were fired at us.
His eyes were pure black. 	His eyes were very dark.	Pure black goes with everything.
"Wow, I'm dead from the neck up today.  "	"Wow, I'm not functioning as well as I usually do today."	The singer was found dead today.
I know this place like the back of my hand. 	I know this place very well.	Your baby is already hairy like the back of my hand.
He's a wrecking ball for the future of the Party. 	He could damage the future of the party.	The structures can be demolished with a wrecking ball.
I can see you've lost your mind. 	I can see you are not thinking straight.	You've lost your wallet.
It was unpleasant seeing her in those cheap shapeless clothes.  	It was unpleasant seeing her in those cheap shabby clothes.	Shapeless emotions began to well up inside her.
Daisy Buchanan is Gatsby's grail that he fails to possess. 	Daisy Buchanan is Gatsby's target that he fails to possess.	The ruler authorized a mission to search for the grail.
I depend on my green tea fix each morning!   	I enjoy my green tea fix each morning!	I depend on nicotine for emotional stability.
"You're so sweet, you give me diabetes.   "	You're very sweet.	All that sugar might give me diabetes one day.
His charisma magnetized us.     	His charisma captivated us.	They used a magnetized needle.
"When you get emotional, your brain sort of short-circuits.   "	"When you get emotional, your brain looses its normal thinking abilities."	The current sort of short-circuits through their body.
Parents' affection is cosmic.  	Parents' affection is special.	Meteorites seem to contain cosmic dust.
I can smell pizza from a mile away.  	I can smell pizza from a long distance.	The hotel was only half a mile away.
I don't work without coffee: it's my lifeblood.  	I do not work without coffee: it is my sustenance.	Roots hold the plant's lifeblood.
The resources are pitifully small.    	The resources are very small.	He starts bleeding and crying pitifully.
She had an ethereal glow about her.   	She had a graceful glow about her.	"In the ethereal world of dreams, we can understand our lives."
The title says it all.      	The title is very descriptive.	I need say no more: you say it all better.
The president said that the well-being of citizens is his North Star.  	The president said that the well-being of citizens is his guiding principle.	The compass needle points towards the North star.
Your judgement at this point is worth less than nothing.  	Your judgement at this point is worthless.	
The minister told the guests that the couple's friendship was sweeter than honey. 	The minister told the guests that the couple's friendship was very sweet.	Maple syrup is sweeter than honey to my mouth!
I swear you've doubled in size since I saw you last month.   	I swear you have grown since I saw you last month.	A village on the estuary has doubled in size since last year.
Weight training is ridiculously good for you.   	Weight training is very good for you.	You ridiculously disguised as a captain.
His studded jacket is drilling in his body. 	His studded jacket is tight on his body.	The bricklayers are drilling in the wrong place.
They go about together like Siamese twins.  	They go about together.	Two others surviving against the odds are the Siamese twins.
They were probably hoping to crucify me in front of the whole world.  	They were probably hoping to punish me in front of the people.	"They shouted ""Crucify him!"" with the whole world's sin upon his back."
Guess you've run out of thoughts.  	Guess you've not many thoughts.	You have run out of biscuits.
One winter was so cold that the snow turned blue.  	One winter was colder than normal.	"After the incident, her finger turned blue."
So much snow that it's like walking in the firmament.  	So much snow that it's like walking on a soft ground.	Some stars in the firmament have a name.
"To some, AI is taking the lid off Pandora's box.  "	"To some, AI is beginning to generate complicated problems."	
"She is only a puppet, acting on the directives of her friends.  "	"She is only a follower, acting on the directives of her friends."	She made a costume to match her puppet.
Many people say that my father is still a kid. 	Many people say that my father is still immature.	"Don't blame him, he's still a kid."
I've seen this movie at least eighty thousand times.   	I've seen this movie many times.	These products are tested at least eighty thousand times.
It's the end of the world.   	It's a difficult time.	"At the beginning of the century, people forecasted the end of the world."
It is a truth universally acknowledged that a single man in possession of a fortune must be in want of a wife.	It is a truth widely acknowledged that a single man in possession of a fortune must be in want of a wife.	It is a truth universally acknowledged that crying is a sign of sadness.
Christmas will never come.  	Christmas will take a long time to come.	I could never rise so high.
She ran the whole gamut of emotions.    	She felt a number of emotions.	The exhibition runs the whole gamut of artistic styles.
He used to teach there and used to get harassed by all the pupils. 	He used to teach there and was bothered by all the pupils.	The victims are going to be harassed by the media.
That lawyer's words are bullets.	That lawyer's words are really harsh.	Sentries were given some bullets.
